Receipts
25634
20845
20431
33348
22679
36807
22589
27349
31748
21018
25694
29470
29954
24182
24817
39832
27549
43948
24967
29683
36647
24130
27597
32796
33201
26922
25233
42545
35090
47657
29194
35040
42591
28745
33227
37477
38364
32639
31144
52238
38287
53910
33268
39353
47302
33099
38320
42617
43429
37866
33351
61097
36071
59055
37348
44259
53545
38923
39175
48904
52214
38129
44623
74464
38243
70429
47829
47669
60279
45150
44016
56822
55269
43042
45291
75777
36753
66353
44675
44924
59694
40539
42007
54498
57505
38818
43504
66234
33755
66517
43948
49683
63556
45157
46202
58044
62537
46886
44464
80180
37459
69282
52017
55209
68019
52251
51494
62404
70454
54021
49606
94593
39794
72151
57970
55776
73808
57886
51163
68193
76710
53370
49557
91438
46246
77024
62974
56523
78013
59012
52967
78035
81771
55463
56515
122897
47691
82945
64223
60213
92410
62354
56987
85525
