Revenues
382
872
408
443
679
406
409
662
388
570
879
417
468
895
457
568
685
492
465
713
518
572
891
519
544
1005
543
568
785
596
488
799
518
644
968
544
691
1125
531
576
868
541
571
876
579
801
960
546
675
1139
684
564
851
595
641
902
596
735
1014
652
663
1174
714
698
842
675
665
948
670
753
1073
676
646
1219
680
628
943
756
649
951
742
814
1100
759
715
1487
763
793
955
780
777
1052
775
957
1117
757
839
1459
828
862
1147
840
814
1064
766
997
1187
